,capacity_mw,area_sq_km,latitude,longitude
163,214139.23074179993,6691.850960358,33.0,-91.0
164,213832.33366899999,6682.2604271,33.0,-92.0
165,242933.25233499994,7591.664135240003,33.0,-93.0
166,230791.970339,7212.249072709997,33.0,-94.0
167,244351.037483,7635.969921380002,33.0,-95.0
168,283020.208786,8844.38152466,33.0,-96.0
169,163365.7539587101,5105.1798111240005,33.0,-97.0
170,276989.461486,8655.920671659998,33.0,-98.0
171,323008.861727,10094.026929519998,33.0,-99.0
172,305396.67229400005,9543.646009099999,34.0,-100.0
173,324168.21548700007,10130.25673367,34.0,-101.0
174,301941.38821640005,9435.668381450001,34.0,-102.0
175,311029.8664,9719.683324900006,34.0,-103.0
176,322617.23306000006,10081.788532670002,34.0,-104.0
177,298095.11923795985,9315.472475327,34.0,-105.0
178,172554.62157173498,5392.331923630001,34.0,-106.0
179,141376.97549635,4418.030484279999,34.0,-107.0
180,198463.2117595,6201.975367191,34.0,-108.0
181,117575.02707609997,3674.219596033999,34.0,-109.0
182,261177.13685334,8161.7855262569965,34.0,-110.0
183,51357.4493645,1604.9202926389999,34.0,-111.0
184,93537.32170838505,2923.0413032099996,34.0,-112.0
185,279560.10998173,8736.2534372,34.0,-113.0
186,261290.51966849997,8165.328739809997,34.0,-114.0
187,49353.294719569996,1542.290459904,34.0,-115.0
188,67764.98110980002,2117.6556595820007,34.0,-116.0
189,122789.28241930193,3837.1650755180003,34.0,-117.0
190,35308.628492380005,1103.394640401,34.0,-118.0
191,51394.249766660985,1606.070305065,34.0,-119.0
192,4938.66716506,154.33334889,34.0,-120.0
193,1433.049469,44.7827959,34.0,-121.0
194,61351.01404497001,1917.2191889049996,34.0,-78.0
195,137903.737912308,4309.491809659,34.0,-79.0
196,186456.38796939998,5826.76212379,34.0,-80.0
197,215868.99775660192,6745.9061800439995,34.0,-81.0
198,228919.891830041,7153.746619543999,34.0,-82.0
199,279592.85730140004,8737.27679039,34.0,-83.0
200,178643.11090312005,5582.597215713,34.0,-84.0
201,252001.45837010004,7875.045574099001,34.0,-85.0
202,269608.46733793005,8425.264603970001,34.0,-86.0
203,248502.86655206003,7765.7145797190005,34.0,-87.0
204,274890.68428,8590.333883230003,34.0,-88.0
205,261101.85925099993,8159.433101180002,34.0,-89.0
206,256675.71537599995,8021.116105380001,34.0,-90.0
207,238020.88342870004,7438.152607049,34.0,-91.0
208,219793.87197200005,6868.558499060002,34.0,-92.0
209,246918.95686284002,7716.217402011002,34.0,-93.0
210,246994.09417319993,7718.565442704,34.0,-94.0
